Incidence Rate Report by State

"Bladder (All Stages^), 2018"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,***,18.4 ,18.2, 18.5,N/A , N/A , N/A,73443,falling,-2.5 ,-3.5, -1.5
"New Hampshire(2)",33000,***,27.3 ,24.9, 29.9,1 , 1 , 4,504,stable,-0.5 ,-1.1, 0.1
"Maine(2)",23000,***,25 ,22.9, 27.4,2 , 1 , 9,516,falling,-0.7 ,-1.4, -0.1
"Rhode Island(2)",44000,***,23.6 ,21.1, 26.4,3 , 1 , 23,332,falling,-1.2 ,-1.9, -0.5
"Vermont(2)",50000,***,22.6 ,19.5, 26,4 , 1 , 33,208,falling,-1.2 ,-1.9, -0.5
"Delaware(2)",10000,***,22.5 ,20, 25.3,5 , 1 , 29,301,falling,-0.7 ,-1.3, -0.1
"Connecticut(7)",09000,***,22.3 ,20.9, 23.7,6 , 2 , 19,1066,falling,-3.3 ,-4.2, -2.3
"Pennsylvania(2)",42000,***,21.9 ,21.2, 22.7,7 , 3 , 16,3903,falling,-2.8 ,-3.7, -1.8
"West Virginia(2)",54000,***,21.8 ,20, 23.7,8 , 2 , 27,583,stable,-0.5 ,-1.0, 0.0
"New Jersey(7)",34000,***,21.8 ,20.9, 22.7,9 , 3 , 18,2464,falling,-1.1 ,-1.4, -0.8
"Kentucky(7)",21000,***,21.7 ,20.5, 23,10 , 3 , 22,1216,stable,0.1 ,-0.3, 0.5
"Montana(2)",30000,***,21.5 ,19.2, 24.1,11 , 2 , 33,315,falling,-0.7 ,-1.3, -0.1
"Ohio(2)",39000,***,21.4 ,20.7, 22.2,12 , 4 , 19,3302,stable,-0.2 ,-0.4, 0.0
"Wisconsin(2)",55000,***,21.4 ,20.3, 22.5,13 , 3 , 22,1622,stable,-1.9 ,-3.8, 0.0
"New York(7)",36000,***,21.3 ,20.8, 21.9,14 , 5 , 19,5345,falling,-0.9 ,-1.3, -0.6
"Kansas(2)",20000,***,21 ,19.5, 22.6,15 , 3 , 29,752,stable,0.2 ,-0.5, 0.9
"Iowa(7)",19000,***,20.6 ,19.2, 22.1,16 , 4 , 29,848,falling,-0.8 ,-1.2, -0.5
"Minnesota(2)",27000,***,20.3 ,19.3, 21.4,17 , 7 , 29,1399,falling,-0.6 ,-1.0, -0.2
"Nebraska(2)",31000,***,20.3 ,18.5, 22.2,18 , 4 , 35,476,stable,-0.4 ,-0.8, 0.0
"Michigan(4)",26000,***,20.1 ,19.3, 20.9,19 , 11 , 28,2650,falling,-0.9 ,-1.3, -0.4
"Indiana(2)",18000,***,20.1 ,19.1, 21.1,20 , 10 , 29,1636,falling,-3.3 ,-6.2, -0.3
"Massachusetts(7)",25000,***,19.9 ,18.9, 20.8,21 , 12 , 31,1759,falling,-2.0 ,-2.5, -1.4
"Wyoming(2)",56000,***,19.7 ,16.5, 23.3,22 , 2 , 46,141,falling,-1.4 ,-2.5, -0.4
"Tennessee(2)",47000,***,19.6 ,18.6, 20.5,23 , 13 , 32,1665,stable,0.1 ,-0.4, 0.7
"Arkansas(2)",05000,***,19.5 ,18.1, 20.9,24 , 9 , 36,762,stable,0.3 ,-0.2, 0.8
"Idaho(7)",16000,***,19.4 ,17.5, 21.4,25 , 5 , 40,401,stable,-0.4 ,-0.9, 0.2
"Washington(4)",53000,***,18.9 ,18, 19.9,26 , 17 , 35,1680,stable,-3.4 ,-6.9, 0.3
"Oregon(2)",41000,***,18.8 ,17.7, 20.1,27 , 15 , 38,1034,falling,-0.8 ,-1.3, -0.3
"Illinois(2)",17000,***,18.7 ,18, 19.4,28 , 21 , 35,2896,falling,-1.1 ,-1.4, -0.8
"South Dakota(2)",46000,***,18.4 ,15.9, 21.2,29 , 5 , 47,203,falling,-1.2 ,-2.1, -0.3
