Incidence Rate Report by State

"Brain & ONS (All Stages^), 2018"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,***,6.2 ,6.1, 6.3,N/A , N/A , N/A,22603,*,*,*,*
"Connecticut(7)",09000,***,7.5 ,6.7, 8.5,1 , 1 , 26,314,*,*,*,*
"Idaho(7)",16000,***,7.5 ,6.3, 8.9,2 , 1 , 40,140,*,*,*,*
"Maine(2)",23000,***,7.5 ,6.1, 9,3 , 1 , 42,120,*,*,*,*
"Montana(2)",30000,***,7.4 ,5.8, 9.1,4 , 1 , 46,90,*,*,*,*
"Washington(4)",53000,***,7.2 ,6.6, 7.8,5 , 1 , 26,601,*,*,*,*
"Massachusetts(7)",25000,***,7.2 ,6.6, 7.8,6 , 1 , 28,566,*,*,*,*
"Kentucky(7)",21000,***,7.1 ,6.4, 7.9,7 , 1 , 33,358,*,*,*,*
"Nebraska(2)",31000,***,7.1 ,6, 8.4,8 , 1 , 43,145,*,*,*,*
"Alabama(2)",01000,***,7.1 ,6.4, 7.8,9 , 1 , 32,398,*,*,*,*
"Wisconsin(2)",55000,***,7.1 ,6.4, 7.8,10 , 1 , 31,469,*,*,*,*
"Iowa(7)",19000,***,7 ,6.1, 7.9,11 , 1 , 39,253,*,*,*,*
"Utah(7)",49000,***,7 ,6, 8,12 , 1 , 41,208,*,*,*,*
"Minnesota(2)",27000,***,6.9 ,6.3, 7.6,13 , 1 , 34,430,*,*,*,*
"Arkansas(2)",05000,***,6.9 ,6, 7.8,14 , 1 , 42,235,*,*,*,*
"New Jersey(7)",34000,***,6.9 ,6.3, 7.4,15 , 2 , 31,694,*,*,*,*
"Tennessee(2)",47000,***,6.7 ,6.1, 7.3,16 , 3 , 37,507,*,*,*,*
"Ohio(2)",39000,***,6.7 ,6.2, 7.2,17 , 4 , 32,904,*,*,*,*
"Florida(2)",12000,***,6.6 ,6.3, 7,18 , 7 , 31,1741,*,*,*,*
"Pennsylvania(2)",42000,***,6.6 ,6.2, 7.1,19 , 5 , 33,1000,*,*,*,*
"Rhode Island(2)",44000,***,6.5 ,5.1, 8.2,20 , 1 , 49,82,*,*,*,*
"West Virginia(2)",54000,***,6.5 ,5.4, 7.7,21 , 1 , 47,145,*,*,*,*
"New Hampshire(2)",33000,***,6.5 ,5.3, 7.9,22 , 1 , 48,109,*,*,*,*
"Michigan(4)",26000,***,6.4 ,6, 6.9,23 , 7 , 38,740,*,*,*,*
"Oklahoma(2)",40000,***,6.4 ,5.6, 7.2,24 , 3 , 46,281,*,*,*,*
"New York(7)",36000,***,6.3 ,5.9, 6.6,25 , 14 , 37,1386,*,*,*,*
"Illinois(2)",17000,***,6.3 ,5.8, 6.7,26 , 11 , 41,870,*,*,*,*
"Oregon(2)",41000,***,6.2 ,5.5, 7,27 , 5 , 46,303,*,*,*,*
"Vermont(2)",50000,***,6.2 ,4.4, 8.5,28 , 1 , 50,45,*,*,*,*
"District of Columbia(2)",11001,***,6.2 ,4.4, 8.4,29 , 1 , 50,43,*,*,*,*
"North Carolina(2)",37000,***,6.1 ,5.7, 6.6,30 , 12 , 43,719,*,*,*,*
"Delaware(2)",10000,***,6.1 ,4.7, 7.9,31 , 1 , 50,70,*,*,*,*
"Missouri(2)",29000,***,6.1 ,5.5, 6.7,32 , 10 , 46,431,*,*,*,*
"Colorado(2)",08000,***,6 ,5.4, 6.7,33 , 10 , 47,372,*,*,*,*
"North Dakota(2)",38000,***,6 ,4.4, 8,34 , 1 , 50,49,*,*,*,*
"South Carolina(2)",45000,***,5.8 ,5.2, 6.5,35 , 15 , 48,347,*,*,*,*
"Kansas(2)",20000,***,5.8 ,5, 6.7,36 , 8 , 49,189,*,*,*,*
"Texas(2)",48000,***,5.7 ,5.5, 6,37 , 27 , 46,1670,*,*,*,*
"Georgia(7)",13000,***,5.7 ,5.3, 6.2,38 , 22 , 47,632,*,*,*,*
"California(7)",06000,***,5.7 ,5.5, 5.9,39 , 29 , 45,2425,*,*,*,*
"Indiana(2)",18000,***,5.7 ,5.1, 6.3,40 , 20 , 48,424,*,*,*,*
"Louisiana(7)",22000,***,5.6 ,4.9, 6.3,41 , 19 , 49,289,*,*,*,*
"Arizona(2)",04000,***,5.5 ,5, 6.1,42 , 23 , 48,458,*,*,*,*
"Maryland(2)",24000,***,5.5 ,5, 6.1,43 , 22 , 49,372,*,*,*,*
"Virginia(2)",51000,***,5.5 ,5, 6,44 , 25 , 49,523,*,*,*,*
"Mississippi(2)",28000,***,5.4 ,4.6, 6.3,45 , 18 , 50,179,*,*,*,*
"Alaska(2)",02900,***,5.2 ,3.7, 7.1,46 , 2 , 50,42,*,*,*,*
"New Mexico(7)",35000,***,4.8 ,3.9, 5.8,47 , 25 , 50,116,*,*,*,*
"South Dakota(2)",46000,***,4.7 ,3.4, 6.4,48 , 11 , 50,45,*,*,*,*
"Puerto Rico(2)",72001,***,4.7 ,4, 5.5,N/A , N/A , N/A,176,stable,-0.3 ,-12.5, 13.5
"Wyoming(2)",56000,***,4.5 ,3, 6.6,49 , 6 , 50,31,*,*,*,*
"Hawaii(7)",15000,***,4.3 ,3.3, 5.6,50 , 29 , 50,67,*,*,*,*
"Nevada(2)",32000,***,* ,*, *,* , * , *,15 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 10/19/2022 3:32 pm.

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"[rate note] Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2018 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
"[trend note] Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information."

Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) summary stage [ https://seer.cancer.gov/tools/ssm/ ]."
"[rank note]Results presented with the CI*Rank statistics help show the usefulness of ranks. For example, ranks for relatively rare diseases or less populated areas may be essentially meaningless because of their large variability, but ranks for more common diseases in densely populated regions can be very useful. More information about methodology can be found on the CI*Rank website."
*** No Healthy People 2020 Objective for this cancer.
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

