Incidence Rate Report by State

"Breast (in situ) (All Stages^), 2018"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,***,28.6 ,28.4, 28.9,N/A , N/A , N/A,56373,falling,-1.1 ,-1.7, -0.5
"New Jersey(7)",34000,***,42.2 ,40.4, 44,1 , 1 , 4,2322,stable,-0.2 ,-0.9, 0.6
"New York(7)",36000,***,42.1 ,40.9, 43.4,2 , 1 , 4,4987,stable,-0.4 ,-1.0, 0.1
"Rhode Island(2)",44000,***,39.3 ,34.5, 44.7,3 , 1 , 11,262,stable,0.7 ,-0.3, 1.7
"Connecticut(7)",09000,***,38 ,35.4, 40.8,4 , 2 , 8,866,falling,-1.9 ,-2.9, -0.9
"District of Columbia(2)",11001,***,37.5 ,31.3, 44.7,5 , 1 , 23,133,stable,-2.5 ,-5.9, 1.0
"Massachusetts(7)",25000,***,34.2 ,32.4, 36.1,6 , 4 , 12,1426,falling,-3.1 ,-3.8, -2.3
"Wisconsin(2)",55000,***,33.8 ,31.8, 35.9,7 , 4 , 13,1208,rising,0.8 ,0.3, 1.4
"New Hampshire(2)",33000,***,33.7 ,29.8, 38,8 , 3 , 26,306,falling,-1.0 ,-1.8, -0.2
"Hawaii(7)",15000,***,33 ,29.2, 37.3,9 , 3 , 26,294,stable,-0.4 ,-1.3, 0.5
"South Dakota(2)",46000,***,31.7 ,26.6, 37.4,10 , 3 , 37,156,stable,3.3 ,-4.1, 11.3
"Michigan(4)",26000,***,30.9 ,29.4, 32.3,11 , 8 , 22,1942,falling,-0.6 ,-1.2, -0.1
"Illinois(2)",17000,***,30.6 ,29.4, 31.9,12 , 8 , 22,2329,falling,-1.0 ,-1.7, -0.3
"Pennsylvania(2)",42000,***,30.6 ,29.4, 31.9,13 , 8 , 23,2516,falling,-3.1 ,-5.6, -0.4
"Minnesota(2)",27000,***,30.6 ,28.6, 32.6,14 , 7 , 25,998,falling,-0.7 ,-1.4, -0.1
"Delaware(2)",10000,***,30.2 ,25.9, 35,15 , 5 , 39,199,falling,-7.0 ,-11.1, -2.7
"Washington(4)",53000,***,30 ,28.3, 31.7,16 , 9 , 26,1324,falling,-2.7 ,-3.3, -2.1
"Iowa(7)",19000,***,29.8 ,27.2, 32.5,17 , 7 , 33,555,stable,1.9 ,-0.1, 3.9
"Maryland(2)",24000,***,29.7 ,27.9, 31.6,18 , 8 , 27,1121,falling,-2.3 ,-4.1, -0.6
