Incidence Rate Report by State

"Cervix (All Stages^), 2018"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

State, FIPS,Met Healthy People Objective of 7.2?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,No,7.5 ,7.4, 7.6,N/A , N/A , N/A,12733,stable,-0.5 ,-3.1, 2.2
"Puerto Rico(2)",72001,No,11.7 ,10, 13.5,N/A , N/A , N/A,204,falling,-4.1 ,-5.9, -2.3
"Oklahoma(2)",40000,No,10.8 ,9.4, 12.4,1 , 1 , 13,215,stable,0.2 ,-0.8, 1.2
"Arkansas(2)",05000,No,10.6 ,9, 12.5,2 , 1 , 17,164,stable,-0.1 ,-1.2, 1.0
"Wyoming(2)",56000,No,10.6 ,7.1, 15.2,3 , 1 , 45,31,stable,12.4 ,-13.2, 45.6
"West Virginia(2)",54000,No,10.5 ,8.4, 12.9,4 , 1 , 24,99,stable,0.0 ,-1.1, 1.2
"Kansas(2)",20000,No,9.7 ,8.1, 11.6,5 , 1 , 27,139,stable,0.9 ,-0.5, 2.3
"Louisiana(7)",22000,No,9.5 ,8.2, 10.9,6 , 1 , 23,225,stable,-0.7 ,-1.3, 0.0
"Texas(2)",48000,No,9.2 ,8.7, 9.7,7 , 3 , 16,1299,falling,-0.7 ,-1.0, -0.3
"Tennessee(2)",47000,No,9.1 ,8.1, 10.2,8 , 2 , 22,325,stable,0.0 ,-0.7, 0.7
"Kentucky(7)",21000,No,8.9 ,7.7, 10.3,9 , 2 , 28,210,stable,1.7 ,-0.2, 3.6
"Delaware(2)",10000,No,8.8 ,6.3, 11.8,10 , 1 , 46,47,stable,-0.2 ,-1.6, 1.1
"New Mexico(7)",35000,No,8.7 ,7, 10.8,11 , 1 , 37,87,falling,-1.4 ,-2.1, -0.8
"Mississippi(2)",28000,No,8.7 ,7.3, 10.3,12 , 2 , 34,142,*,*,*,*
"Florida(2)",12000,No,8.5 ,7.9, 9.1,13 , 6 , 22,991,falling,-0.6 ,-1.1, -0.1
"Alabama(2)",01000,No,8.3 ,7.2, 9.6,14 , 3 , 33,220,stable,0.2 ,-0.8, 1.2
"Iowa(7)",19000,No,8.3 ,6.9, 9.9,15 , 2 , 38,126,stable,2.4 ,-0.9, 5.9
"Alaska(2)",02900,No,8.3 ,5.5, 12,16 , 1 , 48,29,stable,-0.1 ,-2.0, 1.9
"Rhode Island(2)",44000,No,8.2 ,5.9, 11,17 , 1 , 47,48,stable,-0.7 ,-2.5, 1.3
"Missouri(2)",29000,No,8.2 ,7.2, 9.3,18 , 5 , 33,264,stable,-0.2 ,-0.9, 0.4
"Idaho(7)",16000,No,8.2 ,6.3, 10.4,19 , 1 , 44,69,stable,0.2 ,-1.3, 1.6
"New Jersey(7)",34000,No,8.1 ,7.3, 8.9,20 , 7 , 31,393,falling,-1.7 ,-2.2, -1.2
