CancerType,Year,Race,Sex,AgeGroup,RateType,DataType,Rate,Count,Population
Other Female Genital Organs,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.9,4199,165096351
Nasopharynx,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.5,1880,325239182
Larynx,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,2.9,12077,325239182
Non-Hodgkin Lymphoma,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,18.1,71575,325239182
Other Biliary,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.6,6613,325239182
Salivary Gland,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.3,4851,325239182
Testis,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,5.6,8743,160142831
Trachea Mediastinum and Other Respiratory Organs,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.2,605,325239182
Myeloma,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,6.8,27825,325239182
Oropharynx,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.8,3471,325239182
Other Non-Epithelial Skin,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.6,6325,325239182
Lip,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.4,1689,325239182
Male and Female Breast,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,69.0,266483,325239182
Miscellaneous,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,15.1,60408,325239182
Other Oral Cavity and Pharynx,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.1,605,325239182
Leukemias,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,13.2,50627,325239182
Other Digestive Organs,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.7,2751,325239182
Ureter,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.5,2180,325239182
Uterus NOS,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.0,2144,165096351
Male and Female Breast in situ,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,15.6,59554,325239182
Penis,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.8,1494,160142831
Peritoneum Omentum and Mesentery,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.5,1961,325239182
Tongue,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,3.8,15501,325239182
Kidney and Renal Pelvis,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,17.2,68047,325239182
Mesothelioma,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.7,2911,325239182
Urinary System,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,36.4,146808,325239182
Kidney and Renal Pelvis,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,16.4,689,4781187
Lung and Bronchus,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,52.9,221097,325239182
Ovary,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,9.6,19571,165096351
Other Urinary Organs,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.4,1559,325239182
Soft Tissue including Heart,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,3.3,11930,325239182
Urinary Bladder,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,18.3,75022,325239182
Vagina,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.6,1368,165096351
Other Male Genital Organs,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.2,408,160142831
Respiratory System,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,56.6,236402,325239182
Retroperitoneum,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.4,1648,325239182
Pancreas,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,13.2,54076,325239182
Skin excluding Basal and Squamous,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,24.3,94384,325239182
Vulva,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,2.6,5579,165096351
Nose Nasal Cavity and Middle Ear,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.6,2517,325239182
Pleura,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.0,106,325239182
Small Intestine,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,2.5,9937,325239182
Bones and Joints,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.5,23,4781187
Liver and Intrahepatic Bile Duct,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,8.4,35563,325239182
Oral Cavity and Pharynx,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,11.8,47813,325239182
Other Endocrine including Thymus,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.8,2841,325239182
Thyroid,2019,All Races and Ethnicities,Male and Female, All Ages,Age-adjusted Rate,Incidence,13.1,45311,325239182
Corpus and Uterus NOS,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,17.8,395,2385217
Gallbladder,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.1,39,4781187
Colon and Rectum,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,27.0,1071,4781187
Colon excluding Rectum,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,18.7,719,4781187
Nasopharynx,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.4,16,4781187
All Sites (comparable to ICD-O-2),2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,264.9,10654,4781187
Cervix,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,5.8,124,2385217
Brain and Other Nervous System,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,3.2,140,4781187
Lung and Bronchus,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,37.3,1420,4781187
Ovary,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,6.2,131,2385217
Brain,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,3.1,134,4781187
Chronic Lymphocytic,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.3,50,4781187
Digestive System,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,60.6,2407,4781187
Female Breast,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,73.1,1580,2385217
Female Genital System,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,33.4,728,2385217
Lip,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,Data Suppressed,Data Suppressed,Data Suppressed
Male and Female Breast in situ,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,6.0,251,4781187
Penis,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,Data Suppressed,Data Suppressed,Data Suppressed
Peritoneum Omentum and Mesentery,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,Data Suppressed,Data Suppressed,Data Suppressed
Tongue,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.9,80,4781187
Other Oral Cavity and Pharynx,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,Data Suppressed,Data Suppressed,Data Suppressed
Soft Tissue including Heart,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,2.0,84,4781187
Urinary Bladder,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,7.9,282,4781187
Vagina,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,Data Suppressed,Data Suppressed,Data Suppressed
Floor of Mouth,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,Data Suppressed,Data Suppressed,Data Suppressed
Gum and Other Mouth,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.9,39,4781187
Hypopharynx,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,0.7,27,4781187
Other Female Genital Organs,2019,American Indian/Alaska Native,Male and Female, All Ages,Age-adjusted Rate,Incidence,1.5,34,2385217
