Incidence Rate Report by State

"Esophagus (All Stages^), 2018"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,***,1.7 ,1.7, 1.8,N/A , N/A , N/A,3813,stable,-0.5 ,-1.1, 0.1
"West Virginia(2)",54000,***,2.5 ,1.7, 3.6,1 , 1 , 34,35,stable,0.3 ,-1.9, 2.5
"Rhode Island(2)",44000,***,2.4 ,1.4, 3.9,2 , 1 , 39,19,*,*,*,*
"Massachusetts(7)",25000,***,2.3 ,1.9, 2.8,3 , 1 , 24,112,falling,-1.1 ,-2.0, -0.2
"Iowa(7)",19000,***,2.3 ,1.7, 3.1,4 , 1 , 36,50,stable,0.6 ,-0.2, 1.4
"Minnesota(2)",27000,***,2.2 ,1.8, 2.8,5 , 1 , 30,82,stable,0.2 ,-1.2, 1.6
"Connecticut(7)",09000,***,2.1 ,1.6, 2.8,6 , 1 , 35,56,falling,-1.1 ,-1.9, -0.3
"Ohio(2)",39000,***,2.1 ,1.8, 2.4,7 , 1 , 27,173,stable,-0.6 ,-1.3, 0.2
"Michigan(4)",26000,***,2 ,1.7, 2.4,8 , 1 , 30,142,falling,-1.2 ,-2.2, -0.1
"Wisconsin(2)",55000,***,2 ,1.6, 2.5,9 , 1 , 34,83,stable,-1.0 ,-2.1, 0.0
"New Hampshire(2)",33000,***,2 ,1.2, 3.2,10 , 1 , 39,22,stable,-2.3 ,-4.7, 0.2
"Washington(4)",53000,***,2 ,1.6, 2.4,11 , 1 , 34,92,stable,-1.3 ,-2.5, 0.0
"Illinois(2)",17000,***,2 ,1.7, 2.3,12 , 2 , 30,173,falling,-1.3 ,-2.2, -0.3
"Maryland(2)",24000,***,1.9 ,1.5, 2.4,13 , 2 , 36,77,falling,-2.0 ,-3.4, -0.7
"Pennsylvania(2)",42000,***,1.9 ,1.6, 2.2,14 , 4 , 32,185,stable,-0.6 ,-1.2, 0.1
"Maine(2)",23000,***,1.9 ,1.2, 3,15 , 1 , 39,22,stable,-0.2 ,-2.0, 1.6
"New York(7)",36000,***,1.9 ,1.6, 2.1,16 , 5 , 31,263,falling,-1.6 ,-2.3, -1.0
"Alabama(2)",01000,***,1.8 ,1.4, 2.3,17 , 2 , 38,63,stable,-0.5 ,-2.2, 1.3
