Incidence Rate Report by State

"Kidney & Renal Pelvis (All Stages^), 2018"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,***,11.7 ,11.6, 11.9,N/A , N/A , N/A,24038,rising,0.5 ,0.2, 0.8
"Oklahoma(2)",40000,***,17.2 ,15.6, 19,1 , 1 , 7,418,rising,2.9 ,2.1, 3.7
"West Virginia(2)",54000,***,17.1 ,14.8, 19.8,2 , 1 , 13,215,rising,2.9 ,2.0, 3.9
"Mississippi(2)",28000,***,15.7 ,14, 17.7,3 , 1 , 17,304,*,*,*,*
"Louisiana(7)",22000,***,15.6 ,14.2, 17.2,4 , 1 , 14,457,stable,-0.4 ,-1.4, 0.7
"Arkansas(2)",05000,***,15.5 ,13.7, 17.5,5 , 1 , 18,295,rising,3.1 ,2.2, 4.1
"Indiana(2)",18000,***,14.3 ,13.1, 15.5,6 , 3 , 20,583,rising,0.7 ,0.2, 1.2
"Kentucky(7)",21000,***,14.3 ,12.9, 15.8,7 , 2 , 22,417,stable,0.8 ,-0.5, 2.2
"Vermont(2)",50000,***,14.2 ,10.7, 18.5,8 , 1 , 48,64,stable,0.0 ,-1.6, 1.5
"Nebraska(2)",31000,***,14 ,11.8, 16.4,9 , 1 , 36,161,rising,1.3 ,0.1, 2.6
"Texas(2)",48000,***,14 ,13.4, 14.6,10 , 5 , 17,2167,rising,0.6 ,0.3, 0.9
"Iowa(7)",19000,***,13.7 ,12, 15.5,11 , 3 , 31,275,rising,2.0 ,1.7, 2.4
"Alabama(2)",01000,***,13.4 ,12.1, 14.8,12 , 4 , 27,445,rising,2.2 ,1.6, 2.7
"Kansas(2)",20000,***,13.4 ,11.6, 15.3,13 , 3 , 35,235,stable,1.3 ,-0.1, 2.7
"North Dakota(2)",38000,***,13.4 ,10, 17.5,14 , 1 , 49,59,stable,1.0 ,-0.6, 2.6
"Tennessee(2)",47000,***,13.3 ,12.2, 14.4,15 , 5 , 27,579,rising,1.5 ,0.9, 2.1
"Missouri(2)",29000,***,13.2 ,12.1, 14.5,16 , 5 , 28,526,rising,1.5 ,0.9, 2.0
"Alaska(2)",02900,***,13.2 ,9.5, 17.7,17 , 1 , 50,47,stable,1.3 ,-0.7, 3.4
"Delaware(2)",10000,***,13.1 ,10.3, 16.4,18 , 1 , 48,84,stable,0.8 ,-0.7, 2.3
"Ohio(2)",39000,***,12.8 ,12, 13.7,19 , 9 , 27,986,rising,0.6 ,0.1, 1.1
"Illinois(2)",17000,***,12.6 ,11.8, 13.4,20 , 10 , 28,1026,stable,-0.2 ,-0.7, 0.4
"Maryland(2)",24000,***,11.8 ,10.7, 13,21 , 12 , 42,465,rising,3.3 ,0.9, 5.8
