Incidence Rate Report by State

"Lung & Bronchus (All Stages^), 2018"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,***,48.6 ,48.3, 48.9,N/A , N/A , N/A,107511,falling,-1.3 ,-1.5, -1.1
"Kentucky(7)",21000,***,75.1 ,72, 78.2,1 , 1 , 2,2352,falling,-0.8 ,-1.1, -0.5
"West Virginia(2)",54000,***,68.9 ,64.5, 73.5,2 , 1 , 4,987,stable,-0.2 ,-0.8, 0.4
"Maine(2)",23000,***,67 ,62, 72.2,3 , 1 , 7,732,stable,0.0 ,-0.3, 0.3
"Arkansas(2)",05000,***,62.8 ,59.5, 66.4,4 , 2 , 10,1350,stable,0.4 ,0.0, 0.7
"Tennessee(2)",47000,***,61.6 ,59.4, 63.9,5 , 3 , 9,2931,stable,0.0 ,-0.4, 0.4
"Missouri(2)",29000,***,60.1 ,57.8, 62.5,6 , 4 , 12,2636,falling,-0.9 ,-1.5, -0.3
"Rhode Island(2)",44000,***,58.5 ,53.2, 64.3,7 , 3 , 25,457,stable,0.1 ,-0.4, 0.7
"Oklahoma(2)",40000,***,58.3 ,55.4, 61.4,8 , 4 , 17,1528,falling,-1.1 ,-1.5, -0.7
"Ohio(2)",39000,***,58.1 ,56.4, 59.8,9 , 5 , 14,4887,stable,-0.3 ,-0.6, 0.0
"New Hampshire(2)",33000,***,56.3 ,51.7, 61.3,10 , 4 , 27,573,stable,-0.4 ,-0.9, 0.1
"North Dakota(2)",38000,***,56 ,49.2, 63.5,11 , 3 , 38,259,rising,1.0 ,0.1, 1.8
"Mississippi(2)",28000,***,55.7 ,52.5, 59.1,12 , 6 , 24,1142,*,*,*,*
"Michigan(4)",26000,***,55.7 ,53.9, 57.5,13 , 8 , 20,4030,falling,-1.2 ,-1.6, -0.8
"Indiana(2)",18000,***,55.3 ,53.1, 57.5,14 , 7 , 23,2501,stable,-2.8 ,-6.3, 0.8
"Pennsylvania(2)",42000,***,55.3 ,53.8, 56.8,15 , 9 , 20,5426,falling,-0.5 ,-0.8, -0.2
"Delaware(2)",10000,***,55.2 ,49.9, 61,16 , 4 , 33,418,falling,-1.3 ,-2.0, -0.6
"Illinois(2)",17000,***,55.2 ,53.6, 56.8,17 , 9 , 20,4761,falling,-1.2 ,-1.7, -0.6
"North Carolina(2)",37000,***,52.8 ,51.1, 54.5,18 , 13 , 26,3827,falling,-2.3 ,-3.7, -0.8
"New York(7)",36000,***,52.6 ,51.4, 53.8,19 , 15 , 25,7333,falling,-0.7 ,-1.0, -0.3
