Incidence Rate Report by State

"Non-Hodgkin Lymphoma (All Stages^), 2018"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,***,15.3 ,15.2, 15.5,N/A , N/A , N/A,32039,falling,-1.6 ,-2.3, -0.9
"Florida(2)",12000,***,18.9 ,18.2, 19.7,1 , 1 , 5,3013,stable,-3.6 ,-7.6, 0.7
"New Jersey(7)",34000,***,18.2 ,17.1, 19.3,2 , 1 , 11,1094,stable,0.0 ,-0.2, 0.2
"New York(7)",36000,***,17.8 ,17, 18.6,3 , 1 , 12,2317,stable,0.3 ,0.0, 0.5
"Nebraska(2)",31000,***,17.3 ,14.9, 19.9,4 , 1 , 37,209,stable,-0.3 ,-1.1, 0.6
"Pennsylvania(2)",42000,***,17.2 ,16.4, 18.2,5 , 2 , 17,1592,stable,0.0 ,-0.3, 0.2
"Connecticut(7)",09000,***,17.2 ,15.5, 19,6 , 1 , 27,425,stable,-0.3 ,-0.7, 0.1
"Iowa(7)",19000,***,16.9 ,15.1, 18.9,7 , 1 , 32,353,falling,-1.3 ,-2.4, -0.1
"Wisconsin(2)",55000,***,16.6 ,15.3, 18,8 , 2 , 27,642,stable,-0.2 ,-0.6, 0.2
"Minnesota(2)",27000,***,16.5 ,15.2, 18,9 , 2 , 29,596,stable,-0.4 ,-0.9, 0.1
"Kentucky(7)",21000,***,16.2 ,14.7, 17.8,10 , 2 , 34,474,stable,-0.3 ,-0.7, 0.0
"South Dakota(2)",46000,***,16.2 ,12.9, 20.1,11 , 1 , 49,92,stable,-0.6 ,-1.5, 0.4
"Maine(2)",23000,***,16.1 ,13.7, 18.9,12 , 1 , 45,174,falling,-1.2 ,-2.2, -0.2
"Massachusetts(7)",25000,***,16 ,14.8, 17.2,13 , 3 , 33,737,stable,-0.4 ,-0.8, 0.0
"Michigan(4)",26000,***,15.9 ,15, 16.9,14 , 5 , 29,1093,falling,-1.2 ,-1.6, -0.8
"Illinois(2)",17000,***,15.8 ,14.9, 16.7,15 , 6 , 30,1289,stable,-0.2 ,-0.5, 0.2
"Washington(4)",53000,***,15.8 ,14.6, 17,16 , 5 , 35,734,falling,-1.3 ,-1.6, -1.0
"West Virginia(2)",54000,***,15.6 ,13.5, 18,17 , 1 , 45,210,stable,-0.5 ,-1.5, 0.5
"Vermont(2)",50000,***,15.6 ,12.2, 19.8,18 , 1 , 50,78,stable,-0.7 ,-2.3, 1.0
"Ohio(2)",39000,***,15.6 ,14.7, 16.5,19 , 7 , 33,1253,falling,-0.5 ,-0.8, -0.1
"New Hampshire(2)",33000,***,15.5 ,13, 18.4,20 , 1 , 48,145,stable,-0.7 ,-1.6, 0.1
"Wyoming(2)",56000,***,15.2 ,11.5, 19.9,21 , 1 , 50,58,stable,-1.3 ,-2.9, 0.3
"Louisiana(7)",22000,***,15.1 ,13.7, 16.6,22 , 6 , 43,443,stable,-0.3 ,-0.8, 0.2
"Delaware(2)",10000,***,15.1 ,12.1, 18.6,23 , 1 , 50,101,stable,-0.3 ,-1.3, 0.7
"Tennessee(2)",47000,***,14.9 ,13.7, 16.1,24 , 8 , 42,657,falling,-1.7 ,-2.4, -0.9
"Rhode Island(2)",44000,***,14.7 ,12, 18,25 , 1 , 50,107,stable,-0.9 ,-2.1, 0.3
"Maryland(2)",24000,***,14.7 ,13.4, 15.9,26 , 10 , 44,575,stable,0.2 ,-0.4, 0.8
"Georgia(7)",13000,***,14.5 ,13.6, 15.5,27 , 13 , 43,908,stable,0.0 ,-0.3, 0.4
"California(7)",06000,***,14.5 ,14, 15,28 , 19 , 39,3394,falling,-0.4 ,-0.6, -0.2
"Oklahoma(2)",40000,***,14.3 ,12.8, 15.9,29 , 9 , 47,351,falling,-1.2 ,-2.0, -0.4
"Indiana(2)",18000,***,14.2 ,13.1, 15.4,30 , 14 , 46,614,falling,-1.6 ,-2.2, -1.1
"Mississippi(2)",28000,***,14.1 ,12.5, 16,31 , 8 , 48,276,*,*,*,*
"Oregon(2)",41000,***,14.1 ,12.8, 15.7,32 , 11 , 48,402,falling,-1.0 ,-1.7, -0.3
"Montana(2)",30000,***,14.1 ,11.4, 17.2,33 , 2 , 50,107,stable,-0.5 ,-1.7, 0.7
"Idaho(7)",16000,***,14 ,11.8, 16.5,34 , 5 , 50,151,falling,-1.0 ,-1.6, -0.3
