Incidence Rate Report by State

"Oral Cavity & Pharynx (All Stages^), 2018"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,***,6.4 ,6.3, 6.5,N/A , N/A , N/A,13453,rising,0.4 ,0.3, 0.5
"Vermont(2)",50000,***,8.2 ,5.5, 11.8,1 , 1 , 49,34,stable,1.3 ,-0.8, 3.5
"Arkansas(2)",05000,***,8.1 ,6.9, 9.5,2 , 1 , 32,160,rising,1.5 ,0.6, 2.3
"Kentucky(7)",21000,***,7.8 ,6.8, 9,3 , 1 , 32,223,rising,1.8 ,1.1, 2.5
"Washington(4)",53000,***,7.7 ,6.9, 8.6,4 , 1 , 27,358,rising,0.7 ,0.1, 1.3
"Iowa(7)",19000,***,7.7 ,6.5, 9,5 , 1 , 38,159,rising,0.9 ,0.5, 1.3
"Nebraska(2)",31000,***,7.5 ,5.9, 9.3,6 , 1 , 45,89,stable,0.1 ,-1.4, 1.7
"Pennsylvania(2)",42000,***,7.4 ,6.8, 8,7 , 2 , 27,670,rising,1.4 ,1.0, 1.9
"Oklahoma(2)",40000,***,7.4 ,6.3, 8.6,8 , 1 , 39,186,stable,0.2 ,-0.9, 1.3
"New Hampshire(2)",33000,***,7.4 ,5.7, 9.4,9 , 1 , 47,73,stable,0.2 ,-1.0, 1.3
"Maine(2)",23000,***,7.3 ,5.7, 9.3,10 , 1 , 47,78,rising,1.2 ,0.2, 2.1
"Georgia(7)",13000,***,7.3 ,6.7, 8,11 , 1 , 32,461,stable,0.2 ,-0.5, 0.9
"Connecticut(7)",09000,***,7.3 ,6.2, 8.5,12 , 1 , 40,187,rising,2.1 ,1.3, 2.8
"Hawaii(7)",15000,***,7.2 ,5.5, 9.4,13 , 1 , 48,63,rising,0.8 ,0.1, 1.5
"West Virginia(2)",54000,***,7.1 ,5.7, 8.9,14 , 1 , 46,94,rising,1.6 ,0.5, 2.7
"Rhode Island(2)",44000,***,7.1 ,5.2, 9.5,15 , 1 , 48,51,rising,2.5 ,1.0, 3.9
"Minnesota(2)",27000,***,7.1 ,6.2, 8,16 , 2 , 40,258,stable,0.3 ,-0.4, 1.1
"Wisconsin(2)",55000,***,7.1 ,6.2, 8,17 , 2 , 39,280,stable,0.5 ,0.0, 1.1
"Louisiana(7)",22000,***,6.9 ,6, 8,18 , 2 , 43,200,rising,1.2 ,0.4, 1.9
"Michigan(4)",26000,***,6.9 ,6.3, 7.6,19 , 4 , 38,483,stable,0.1 ,-0.6, 0.8
"Ohio(2)",39000,***,6.8 ,6.2, 7.4,20 , 5 , 38,530,rising,1.5 ,0.9, 2.1
"Missouri(2)",29000,***,6.8 ,6, 7.7,21 , 3 , 42,281,stable,-0.2 ,-1.3, 1.0
"North Carolina(2)",37000,***,6.7 ,6.1, 7.4,22 , 6 , 40,459,stable,0.5 ,-0.1, 1.1
"New Jersey(7)",34000,***,6.7 ,6, 7.4,23 , 6 , 41,405,stable,0.5 ,0.0, 1.1
"New York(7)",36000,***,6.7 ,6.2, 7.1,24 , 9 , 38,880,rising,0.7 ,0.4, 1.0
"Illinois(2)",17000,***,6.6 ,6, 7.2,25 , 8 , 41,539,rising,0.6 ,0.2, 1.0
"Indiana(2)",18000,***,6.5 ,5.7, 7.3,26 , 6 , 45,277,rising,1.0 ,0.3, 1.6
"Maryland(2)",24000,***,6.4 ,5.6, 7.3,27 , 6 , 45,257,rising,0.8 ,0.1, 1.4
"Idaho(7)",16000,***,6.4 ,4.9, 8.2,28 , 1 , 49,69,stable,-3.0 ,-6.3, 0.4
"South Carolina(2)",45000,***,6.4 ,5.5, 7.3,29 , 6 , 46,225,stable,0.2 ,-0.5, 0.8
"Oregon(2)",41000,***,6.3 ,5.4, 7.4,30 , 4 , 47,176,stable,0.5 ,-0.3, 1.4
"Florida(2)",12000,***,6.3 ,5.9, 6.7,31 , 16 , 42,1003,falling,-0.7 ,-1.2, -0.2
"Montana(2)",30000,***,6.3 ,4.5, 8.6,32 , 1 , 49,45,stable,0.3 ,-1.7, 2.4
"Mississippi(2)",28000,***,6.2 ,5.1, 7.5,33 , 4 , 47,123,*,*,*,*
"Delaware(2)",10000,***,6 ,4.2, 8.4,34 , 1 , 49,40,stable,0.6 ,-1.0, 2.2
"Tennessee(2)",47000,***,6 ,5.3, 6.8,35 , 13 , 47,262,rising,0.9 ,0.3, 1.5
"Kansas(2)",20000,***,5.9 ,4.8, 7.2,36 , 6 , 49,102,stable,0.3 ,-1.0, 1.6
"South Dakota(2)",46000,***,5.9 ,4, 8.4,37 , 1 , 49,33,stable,0.8 ,-1.0, 2.7
"Massachusetts(7)",25000,***,5.9 ,5.2, 6.7,38 , 16 , 47,273,stable,0.3 ,-0.4, 1.0
"Alabama(2)",01000,***,5.9 ,5.1, 6.8,39 , 12 , 48,198,stable,0.2 ,-0.9, 1.4
"District of Columbia(2)",11001,***,5.9 ,3.7, 8.9,40 , 1 , 49,23,stable,-1.2 ,-2.9, 0.5
"Texas(2)",48000,***,5.8 ,5.5, 6.2,41 , 26 , 46,917,stable,0.1 ,-0.2, 0.4
"Virginia(2)",51000,***,5.7 ,5.1, 6.4,42 , 20 , 48,307,stable,0.5 ,-0.2, 1.2
"California(7)",06000,***,5.7 ,5.3, 6,43 , 31 , 46,1339,falling,-0.8 ,-1.1, -0.5
"Colorado(2)",08000,***,5.6 ,4.8, 6.5,44 , 17 , 48,186,stable,0.0 ,-0.7, 0.7
"Puerto Rico(2)",72001,***,5.5 ,4.6, 6.6,N/A , N/A , N/A,130,stable,1.1 ,-16.1, 21.8
"Wyoming(2)",56000,***,5.5 ,3.3, 8.7,45 , 1 , 49,20,stable,-0.8 ,-4.0, 2.6
"New Mexico(7)",35000,***,5 ,3.9, 6.4,46 , 15 , 49,69,falling,-0.7 ,-1.3, -0.1
"Utah(7)",49000,***,5 ,3.9, 6.3,47 , 21 , 49,72,stable,0.3 ,-0.3, 1.0
"North Dakota(2)",38000,***,4.8 ,2.9, 7.6,48 , 2 , 49,20,stable,1.0 ,-1.3, 3.3
"Arizona(2)",04000,***,4.4 ,3.8, 5.1,49 , 42 , 49,205,falling,-1.2 ,-2.2, -0.2
"Alaska(2)",02900,***,* ,*, *,* , * , *,15 or fewer,*,*,*,*
"Nevada(2)",32000,***,* ,*, *,* , * , *,15 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 10/19/2022 3:44 pm.

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"[rate note] Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2018 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
