Incidence Rate Report by State

"Pancreas (All Stages^), 2018"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,***,11.5 ,11.4, 11.7,N/A , N/A , N/A,25261,rising,0.8 ,0.6, 1.0
"District of Columbia(2)",11001,***,15.4 ,11.8, 20,1 , 1 , 43,61,rising,2.1 ,0.8, 3.5
"South Dakota(2)",46000,***,13.3 ,10.4, 16.9,2 , 1 , 47,78,rising,1.6 ,0.1, 3.1
"Pennsylvania(2)",42000,***,13.1 ,12.4, 13.9,3 , 1 , 18,1291,rising,1.4 ,1.1, 1.8
"Louisiana(7)",22000,***,13 ,11.7, 14.4,4 , 1 , 33,397,rising,0.8 ,0.3, 1.4
"New York(7)",36000,***,12.8 ,12.2, 13.5,5 , 1 , 20,1806,rising,0.6 ,0.4, 0.8
"West Virginia(2)",54000,***,12.7 ,10.8, 14.9,6 , 1 , 42,178,rising,2.5 ,1.7, 3.3
"Illinois(2)",17000,***,12.6 ,11.9, 13.4,7 , 1 , 26,1085,rising,0.8 ,0.4, 1.1
"Kentucky(7)",21000,***,12.6 ,11.4, 14,8 , 1 , 36,387,rising,1.7 ,1.2, 2.2
"New Jersey(7)",34000,***,12.5 ,11.6, 13.4,9 , 1 , 32,802,rising,1.1 ,0.7, 1.5
"Connecticut(7)",09000,***,12.2 ,10.9, 13.7,10 , 1 , 41,327,rising,0.8 ,0.6, 1.1
"Alabama(2)",01000,***,12.2 ,11, 13.4,11 , 1 , 39,428,rising,1.7 ,0.9, 2.5
"Minnesota(2)",27000,***,12.1 ,11, 13.3,12 , 2 , 39,453,rising,3.0 ,2.2, 3.9
"Tennessee(2)",47000,***,12.1 ,11.1, 13.2,13 , 2 , 38,560,rising,1.2 ,0.5, 1.8
"South Carolina(2)",45000,***,12.1 ,11, 13.3,14 , 2 , 40,445,rising,1.3 ,0.7, 1.9
"Maryland(2)",24000,***,12 ,10.9, 13.1,15 , 2 , 40,492,rising,0.6 ,0.2, 1.0
"Ohio(2)",39000,***,12 ,11.2, 12.7,16 , 4 , 35,1006,rising,1.3 ,0.9, 1.8
"Massachusetts(7)",25000,***,11.9 ,10.9, 13,17 , 2 , 39,576,rising,0.6 ,0.2, 1.1
"Iowa(7)",19000,***,11.9 ,10.5, 13.5,18 , 1 , 43,265,rising,1.2 ,0.9, 1.5
"Missouri(2)",29000,***,11.9 ,10.8, 13,19 , 2 , 40,512,stable,0.6 ,-0.2, 1.4
"Georgia(7)",13000,***,11.8 ,10.9, 12.7,20 , 5 , 39,748,rising,1.3 ,1.0, 1.6
"North Carolina(2)",37000,***,11.7 ,10.9, 12.6,21 , 5 , 38,837,rising,1.3 ,0.7, 1.9
"Maine(2)",23000,***,11.7 ,9.7, 14.1,22 , 1 , 48,129,stable,0.5 ,-0.8, 1.9
"Mississippi(2)",28000,***,11.7 ,10.3, 13.3,23 , 2 , 45,240,*,*,*,*
"Washington(4)",53000,***,11.7 ,10.7, 12.7,24 , 3 , 40,563,rising,0.6 ,0.3, 0.9
"Rhode Island(2)",44000,***,11.7 ,9.3, 14.5,25 , 1 , 50,90,stable,0.5 ,-0.9, 1.8
"Wisconsin(2)",55000,***,11.6 ,10.6, 12.8,26 , 3 , 42,474,rising,1.0 ,0.3, 1.8
"Delaware(2)",10000,***,11.5 ,9.1, 14.4,27 , 1 , 50,86,stable,1.1 ,-0.2, 2.5
"New Hampshire(2)",33000,***,11.5 ,9.4, 14,28 , 1 , 49,110,stable,0.0 ,-1.0, 1.0
"Virginia(2)",51000,***,11.3 ,10.4, 12.2,29 , 8 , 42,633,stable,0.4 ,-0.2, 0.9
"Texas(2)",48000,***,11.2 ,10.7, 11.8,30 , 16 , 40,1747,rising,1.0 ,0.7, 1.3
"Michigan(4)",26000,***,11.1 ,10.4, 12,31 , 11 , 43,802,rising,0.8 ,0.2, 1.3
"Nebraska(2)",31000,***,10.9 ,9.1, 13,32 , 2 , 49,135,rising,1.7 ,0.8, 2.5
"Florida(2)",12000,***,10.9 ,10.4, 11.4,33 , 20 , 42,1885,rising,1.0 ,0.6, 1.4
"California(7)",06000,***,10.9 ,10.4, 11.3,34 , 23 , 42,2632,rising,0.4 ,0.1, 0.7
"Indiana(2)",18000,***,10.9 ,9.9, 11.9,35 , 11 , 46,482,rising,1.0 ,0.4, 1.5
"Vermont(2)",50000,***,10.8 ,8, 14.4,36 , 1 , 50,54,stable,0.7 ,-1.6, 3.0
"Oregon(2)",41000,***,10.5 ,9.3, 11.8,37 , 12 , 48,310,rising,0.8 ,0.2, 1.4
"Arkansas(2)",05000,***,10.4 ,9, 11.9,38 , 9 , 49,217,rising,1.3 ,0.5, 2.1
"Arizona(2)",04000,***,10.3 ,9.5, 11.3,39 , 19 , 48,510,rising,1.1 ,0.4, 1.8
"Montana(2)",30000,***,10.3 ,8.1, 12.9,40 , 2 , 50,81,stable,1.3 ,-0.1, 2.7
"Hawaii(7)",15000,***,10.2 ,8.2, 12.4,41 , 4 , 50,107,rising,0.7 ,0.3, 1.2
"Utah(7)",49000,***,9.8 ,8.3, 11.5,42 , 12 , 50,146,rising,1.4 ,0.7, 2.1
