Incidence Rate Report by State

"Prostate (All Stages^), 2018"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,***,107.5 ,107.1, 108,N/A , N/A , N/A,211893,stable,1.8 ,-2.6, 6.3
"Puerto Rico(2)",72001,***,153.8 ,148.6, 159.1,N/A , N/A , N/A,3421,stable,0.8 ,-8.7, 11.2
"Louisiana(7)",22000,***,148.5 ,143.9, 153.2,1 , 1 , 3,4119,stable,3.9 ,-1.5, 9.5
"Nebraska(2)",31000,***,141.6 ,134.7, 148.9,2 , 1 , 9,1632,rising,7.7 ,3.2, 12.4
"New Jersey(7)",34000,***,139 ,135.8, 142.2,3 , 2 , 7,7544,falling,-2.7 ,-3.5, -1.9
"Mississippi(2)",28000,***,138.3 ,132.8, 144,4 , 1 , 9,2464,*,*,*,*
"Montana(2)",30000,***,134.8 ,126.5, 143.5,5 , 1 , 14,1057,stable,5.8 ,-0.5, 12.6
"Maryland(2)",24000,***,134.2 ,130.3, 138.1,6 , 2 , 10,4812,stable,3.0 ,-1.0, 7.2
"District of Columbia(2)",11001,***,133 ,120.3, 146.8,7 , 1 , 24,415,falling,-3.5 ,-4.9, -2.0
"New York(7)",36000,***,132.4 ,130.3, 134.5,8 , 4 , 10,15714,stable,1.9 ,-1.7, 5.7
"Georgia(7)",13000,***,130.2 ,127.2, 133.3,9 , 5 , 12,7489,stable,4.1 ,-0.6, 9.0
"Arkansas(2)",05000,***,125.5 ,120.4, 130.7,10 , 6 , 20,2392,rising,3.3 ,0.6, 6.0
"North Dakota(2)",38000,***,125.2 ,115, 136.2,11 , 2 , 29,581,falling,-3.1 ,-4.1, -2.1
"Alabama(2)",01000,***,122.1 ,118.1, 126.2,12 , 9 , 22,3733,stable,2.8 ,-0.4, 6.1
"North Carolina(2)",37000,***,121.8 ,119, 124.6,13 , 10 , 20,7727,stable,0.8 ,-2.3, 4.0
"Utah(7)",49000,***,121.7 ,115.9, 127.7,14 , 8 , 26,1709,stable,1.7 ,-0.9, 4.4
"Connecticut(7)",09000,***,120.4 ,115.9, 125.1,15 , 9 , 25,2784,stable,3.3 ,-1.6, 8.6
"South Dakota(2)",46000,***,120 ,110.9, 129.6,16 , 6 , 33,691,stable,0.7 ,-4.5, 6.1
"Delaware(2)",10000,***,119.5 ,111.2, 128.3,17 , 7 , 32,801,stable,-0.3 ,-3.6, 3.2
"Wyoming(2)",56000,***,118.8 ,108, 130.4,18 , 5 , 35,477,stable,5.5 ,-0.2, 11.6
"Wisconsin(2)",55000,***,117.2 ,113.7, 120.8,19 , 12 , 28,4535,stable,3.4 ,-0.3, 7.2
"Tennessee(2)",47000,***,117.1 ,113.7, 120.5,20 , 13 , 28,4889,stable,2.9 ,-1.1, 7.1
"Iowa(7)",19000,***,117 ,112.3, 122,21 , 11 , 30,2356,rising,3.3 ,0.3, 6.4
"Kansas(2)",20000,***,116.2 ,111.1, 121.5,22 , 11 , 31,2050,stable,4.3 ,-1.3, 10.2
