Incidence Rate Report by State

"Stomach (All Stages^), 2018"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,***,8.2 ,8.1, 8.3,N/A , N/A , N/A,14721,falling,-2.6 ,-3.6, -1.5
"New Jersey(7)",34000,***,10.9 ,10, 11.9,1 , 1 , 8,544,falling,-1.5 ,-2.0, -1.1
"New York(7)",36000,***,10.5 ,9.9, 11.2,2 , 1 , 8,1147,falling,-1.2 ,-1.5, -0.9
"Kentucky(7)",21000,***,9.8 ,8.6, 11.2,3 , 1 , 24,241,stable,0.3 ,-0.5, 1.1
"Hawaii(7)",15000,***,9.8 ,7.8, 12.2,4 , 1 , 41,88,falling,-3.5 ,-3.8, -3.1
"Alaska(2)",02900,***,9.7 ,6.4, 14,5 , 1 , 50,31,stable,-1.0 ,-3.0, 1.0
"Puerto Rico(2)",72001,***,9.3 ,8, 10.8,N/A , N/A , N/A,192,stable,-4.3 ,-14.1, 6.7
"Maryland(2)",24000,***,9.3 ,8.2, 10.4,6 , 1 , 28,307,stable,0.0 ,-0.4, 0.5
"California(7)",06000,***,9.2 ,8.8, 9.6,7 , 3 , 18,1853,falling,-1.4 ,-1.7, -1.2
"Wisconsin(2)",55000,***,9.1 ,8.1, 10.2,8 , 2 , 31,318,stable,0.2 ,-0.8, 1.2
"Louisiana(7)",22000,***,9.1 ,7.9, 10.4,9 , 1 , 33,223,falling,-1.2 ,-1.9, -0.6
"Illinois(2)",17000,***,9 ,8.3, 9.8,10 , 3 , 25,628,falling,-1.8 ,-3.0, -0.6
"Mississippi(2)",28000,***,8.9 ,7.5, 10.5,11 , 1 , 42,144,*,*,*,*
"Arkansas(2)",05000,***,8.8 ,7.4, 10.4,12 , 1 , 42,148,stable,-0.1 ,-0.9, 0.7
