Incidence Rate Report by State

"Thyroid (All Stages^), 2018"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,***,6.9 ,6.8, 7.1,N/A , N/A , N/A,11964,falling,-1.9 ,-3.3, -0.5
"Rhode Island(2)",44000,***,11.2 ,8.5, 14.5,1 , 1 , 24,62,stable,1.7 ,-0.6, 4.1
"Delaware(2)",10000,***,10.7 ,7.9, 14.1,2 , 1 , 31,54,rising,3.1 ,0.5, 5.9
"Utah(7)",49000,***,10.6 ,8.9, 12.4,3 , 1 , 14,154,rising,3.9 ,3.1, 4.8
"New York(7)",36000,***,10 ,9.4, 10.7,4 , 1 , 9,1021,stable,-2.4 ,-5.1, 0.4
"Puerto Rico(2)",72001,***,9.9 ,8.4, 11.6,N/A , N/A , N/A,172,stable,-6.6 ,-20.6, 9.9
"West Virginia(2)",54000,***,9.5 ,7.6, 11.8,5 , 1 , 32,94,rising,4.8 ,3.1, 6.7
"Massachusetts(7)",25000,***,9.5 ,8.5, 10.6,6 , 1 , 16,357,stable,-0.3 ,-2.1, 1.5
"Montana(2)",30000,***,9.3 ,6.9, 12.4,7 , 1 , 42,53,rising,3.8 ,1.7, 5.9
"Pennsylvania(2)",42000,***,9.2 ,8.4, 9.9,8 , 2 , 15,649,falling,-1.3 ,-2.1, -0.5
"New Jersey(7)",34000,***,8.8 ,8, 9.7,9 , 3 , 19,423,falling,-2.8 ,-4.8, -0.8
"North Dakota(2)",38000,***,8.5 ,5.8, 12,10 , 1 , 50,34,rising,4.7 ,1.8, 7.8
"New Mexico(7)",35000,***,8.1 ,6.4, 10,11 , 2 , 44,89,rising,3.2 ,2.5, 3.9
"South Dakota(2)",46000,***,8 ,5.5, 11.2,12 , 1 , 50,37,rising,4.0 ,1.9, 6.3
"New Hampshire(2)",33000,***,7.8 ,5.8, 10.2,13 , 2 , 48,60,stable,-1.5 ,-4.7, 1.8
"Ohio(2)",39000,***,7.7 ,7, 8.4,14 , 8 , 29,476,rising,2.5 ,1.1, 3.9
"Louisiana(7)",22000,***,7.7 ,6.6, 8.9,15 , 5 , 37,189,rising,5.2 ,4.2, 6.3
"Connecticut(7)",09000,***,7.6 ,6.4, 9,16 , 5 , 42,149,falling,-5.4 ,-10.2, -0.4
"Nebraska(2)",31000,***,7.5 ,5.9, 9.4,17 , 3 , 47,77,rising,3.8 ,2.4, 5.2
"Colorado(2)",08000,***,7.4 ,6.5, 8.5,18 , 8 , 40,222,stable,-3.7 ,-7.4, 0.3
"Wisconsin(2)",55000,***,7.4 ,6.5, 8.5,19 , 8 , 39,237,stable,1.9 ,-0.1, 4.0
"Wyoming(2)",56000,***,7.4 ,4.6, 11.1,20 , 1 , 50,24,rising,3.7 ,2.3, 5.3
"Iowa(7)",19000,***,7.3 ,6, 8.7,21 , 7 , 46,123,rising,3.8 ,3.1, 4.6
"Maine(2)",23000,***,7.3 ,5.4, 9.6,22 , 3 , 50,60,stable,-6.5 ,-18.1, 6.6
"Vermont(2)",50000,***,7.3 ,4.6, 10.9,23 , 1 , 50,27,rising,3.2 ,1.0, 5.5
"Illinois(2)",17000,***,6.9 ,6.3, 7.6,24 , 13 , 39,469,falling,-4.6 ,-7.7, -1.5
"Minnesota(2)",27000,***,6.9 ,5.9, 7.9,25 , 11 , 45,210,rising,3.0 ,1.9, 4.2
"Washington(4)",53000,***,6.8 ,6, 7.7,26 , 12 , 44,277,stable,-0.9 ,-3.5, 1.8
"Idaho(7)",16000,***,6.7 ,5.1, 8.6,27 , 6 , 50,61,stable,0.1 ,-2.8, 2.9
"Arkansas(2)",05000,***,6.6 ,5.4, 8.1,28 , 10 , 49,107,rising,4.9 ,3.3, 6.4
"California(7)",06000,***,6.6 ,6.2, 7,29 , 19 , 39,1357,rising,1.7 ,0.7, 2.7
"Georgia(7)",13000,***,6.6 ,5.9, 7.3,30 , 15 , 45,346,rising,3.7 ,2.9, 4.5
"Oregon(2)",41000,***,6.4 ,5.4, 7.6,31 , 13 , 48,149,stable,-4.8 ,-13.0, 4.1
"Virginia(2)",51000,***,6.4 ,5.7, 7.2,32 , 16 , 46,287,stable,1.3 ,-0.4, 3.1
"Alaska(2)",02900,***,6.3 ,4.1, 9.5,33 , 3 , 50,26,stable,1.8 ,-1.2, 5.0
"Kentucky(7)",21000,***,6.3 ,5.3, 7.5,34 , 13 , 49,154,stable,-6.1 ,-15.5, 4.3
"Missouri(2)",29000,***,6.3 ,5.5, 7.3,35 , 15 , 48,207,stable,-1.9 ,-5.0, 1.4
"Indiana(2)",18000,***,6.2 ,5.3, 7.1,36 , 17 , 49,212,rising,2.9 ,2.2, 3.7
"Kansas(2)",20000,***,6.2 ,5, 7.6,37 , 12 , 50,97,stable,-7.6 ,-18.2, 4.4
"Maryland(2)",24000,***,6.1 ,5.3, 7.1,38 , 16 , 49,199,falling,-4.0 ,-6.5, -1.4
"Texas(2)",48000,***,6.1 ,5.7, 6.5,39 , 25 , 45,846,stable,-0.5 ,-1.7, 0.7
"Arizona(2)",04000,***,6 ,5.3, 6.9,40 , 18 , 49,238,falling,-3.0 ,-4.3, -1.6
"Tennessee(2)",47000,***,5.9 ,5.2, 6.8,41 , 20 , 49,220,stable,-2.1 ,-5.0, 0.8
"Florida(2)",12000,***,5.7 ,5.2, 6.1,42 , 30 , 49,694,stable,0.5 ,-0.9, 1.9
"Michigan(4)",26000,***,5.6 ,5, 6.3,43 , 27 , 50,308,stable,-1.6 ,-3.7, 0.6
"North Carolina(2)",37000,***,5.6 ,4.9, 6.2,44 , 28 , 50,310,stable,-1.6 ,-3.4, 0.2
"Hawaii(7)",15000,***,5.5 ,3.9, 7.5,45 , 12 , 50,42,falling,-7.4 ,-13.0, -1.4
"District of Columbia(2)",11001,***,5.5 ,3.2, 8.8,46 , 4 , 50,18,stable,1.2 ,-2.0, 4.5
"Alabama(2)",01000,***,5.2 ,4.4, 6.2,47 , 27 , 50,138,rising,2.2 ,0.9, 3.5
"Oklahoma(2)",40000,***,5.2 ,4.2, 6.3,48 , 25 , 50,109,stable,-2.4 ,-10.4, 6.3
"South Carolina(2)",45000,***,4.9 ,4.1, 5.9,49 , 31 , 50,138,stable,-5.2 ,-12.0, 2.0
"Mississippi(2)",28000,***,4.9 ,3.8, 6.2,50 , 24 , 50,76,*,*,*,*
"Nevada(2)",32000,***,* ,*, *,* , * , *,15 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 10/19/2022 3:48 pm.

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"[rate note] Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2018 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
"[trend note] Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information."

Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) summary stage [ https://seer.cancer.gov/tools/ssm/ ]."
"[rank note]Results presented with the CI*Rank statistics help show the usefulness of ranks. For example, ranks for relatively rare diseases or less populated areas may be essentially meaningless because of their large variability, but ranks for more common diseases in densely populated regions can be very useful. More information about methodology can be found on the CI*Rank website."
*** No Healthy People 2020 Objective for this cancer.
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

